iter	Passed	Remaining
427	287395	384088
428	288031	383370
429	288604	382568
430	289282	381906
431	289859	381111
432	290569	380491
433	291194	379761
434	291884	379113
435	292590	378488
436	293244	377795
437	293891	377093
438	294488	376327
439	295102	375585
440	295785	374930
441	296426	374222
442	297010	373441
443	297672	372760
444	298274	372005
445	298987	371387
446	299578	370619
447	300273	369979
448	300889	369242
449	301519	368524
450	302166	367825
451	302748	367049
452	303364	366314
453	304070	365687
454	304755	365036
455	305413	364352
456	306086	363686
457	306704	362956
458	307381	362295
459	308019	361588
460	308712	360945
461	309335	360222
462	310080	359640
463	310768	358991
464	311406	358284
465	312043	357577
466	312721	356918
467	313338	356187
468	314020	355533
469	314702	354877
470	315324	354154
471	315959	353446
472	316614	352760
473	317245	352049
474	317920	351386
475	318510	350629
476	319201	349983
477	319843	349285
478	320602	348713
479	321331	348109
480	322033	347474
481	322740	346845
482	323388	346153
483	324056	345481
484	324731	344818
485	325400	344147
486	325996	343400
487	326628	342692
488	327372	342101
489	328085	341476
490	328765	340818
491	329392	340103
492	330014	339386
493	330657	338689
494	331303	337996
495	331959	337313
496	332552	336566
497	333154	335830
498	333826	335164
499	334395	334395
500	335026	333688
501	335684	333009
502	336295	332284
503	336957	331609
504	337547	330863
505	338192	330172
506	338771	329417
507	339389	328699
508	340073	328046
509	340672	327313
510	341291	326597
511	341964	325934
512	342640	325274
513	343217	324520
514	343904	323871
515	344540	323173
516	345190	322489
517	345822	321788
518	346433	321068
519	347051	320354
520	347669	319642
521	348347	318985
522	348967	318274
523	349599	317575
524	350246	316889
525	350852	316167
526	351464	315451
527	352088	314746
528	352739	314064
529	353411	313402
530	354065	312724
531	354666	311999
532	355320	311322
533	355934	310609
534	356584	309928
535	357182	309202
536	357902	308582
537	358508	307864
538	359224	307239
539	359805	306500
540	360420	305790
541	361030	305077
542	361652	304374
543	362346	303731
544	362920	302988
545	363559	302300
546	364213	301624
547	364845	300931
548	365504	300259
549	366153	299580
550	366766	298871
551	367426	298201
552	368076	297522
553	368688	296814
554	369366	296158
555	369987	295457
556	370682	294815
557	371311	294121
558	371915	293407
559	372605	292761
560	373186	292030
561	373825	291344
562	374507	290692
563	375125	289990
564	375747	289292
565	376452	288658
566	377093	287974
567	377722	287281
568	378366	286600
569	379048	285948
570	379704	285277
571	380320	284575
572	381011	283929
573	381619	283223
574	382437	282671
575	383174	282059
576	383859	281408
577	384583	280785
578	385337	280184
579	386047	279551
580	386866	278996
581	387597	278377
582	388181	277652
583	388834	276977
584	389443	276271
585	390042	275558
586	390611	274825
587	391275	274159
588	391887	273456
589	392424	272701
590	392988	271966
591	393599	271264
592	394197	270553
593	394833	269869
594	395459	269178
595	396024	268446
596	396644	267751
597	397223	267029
598	397823	266322
599	398411	265607
600	399063	264935
601	399745	264283
602	400357	263585
603	401069	262952
604	401640	262228
605	402280	261548
606	402907	260861
607	403492	260146
608	404081	259434
609	404695	258739
610	405400	258102
611	406038	257423
612	406609	256701
613	407229	256010
614	407816	255299
615	408425	254602
616	409020	253897
617	409631	253202
618	410224	252496
619	410854	251814
620	411428	251097
621	412033	250400
622	412645	249706
623	413282	249029
624	413858	248314
625	414473	247624
626	415121	246954
627	415765	246281
628	416339	245567
629	416982	244894
630	417567	244187
631	418148	243478
632	418778	242798
633	419409	242119
634	420022	241430
635	420676	240764
636	421260	240058
637	421847	239355
638	422452	238662
639	423036	237958
640	423672	237283
641	424298	236602
642	424851	235881
643	425478	235202
644	426041	234487
645	426650	233799
646	427244	233102
647	427867	232421
648	428473	231732
649	429046	231025
650	429637	230327
651	430241	229638
652	430889	228972
653	431494	228282
654	432044	227565
655	432681	226893
656	433308	226217
657	433907	225526
658	434493	224828
659	435080	224132
660	435673	223439
661	436299	222763
662	436899	222073
663	437495	221383
664	438132	220713
665	438750	220033
666	439331	219336
667	439951	218658
668	440567	217978
669	441131	217273
670	441751	216596
671	442357	215912
672	442935	215215
673	443529	214526
674	444123	213837
675	444737	213158
676	445367	212486
677	445916	211777
678	446510	211089
679	447101	210400
680	447752	209740
681	448342	209051
682	448943	208367
683	449507	207667
684	450122	206990
685	450701	206297
686	451323	205624
687	451895	204929
688	452500	204249
689	453075	203555
690	453747	202906
691	454308	202206
692	454906	201524
693	455492	200836
694	456144	200178
695	456694	199475
696	457291	198793
697	457878	198107
698	458524	197447
699	459120	196765
700	459687	196072
701	460319	195406
702	460950	194740
703	461507	194043
704	462109	193364
705	462692	192679
706	463309	192007
707	463912	191331
708	464483	190641
709	465123	189979
710	465796	189332
711	466446	188674
712	467024	187988
713	467635	187316
714	468256	186647
715	468830	185960
716	469421	185280
717	470003	184597
718	470596	183918
719	471191	183241
720	471804	182570
721	472428	181904
722	472997	181217
723	473628	180554
724	474237	179883
725	474817	179201
726	475440	178535
727	476025	177855
728	476675	177200
729	477283	176529
730	477863	175848
731	478472	175178
732	479107	174518
733	479649	173824
734	480288	173165
735	480911	172500
736	481482	171817
737	482117	171158
738	482745	170496
739	483351	169826
740	483937	169149
741	484495	168463
742	485180	167821
743	485770	167146
744	486390	166482
745	487000	165815
746	487632	165155
747	488199	164473
748	488832	163814
749	489487	163162
750	490073	162487
751	490671	161817
752	491328	161166
753	491923	160494
754	492536	159829
755	493098	159148
756	493757	158498
757	494355	157828
758	494941	157155
759	495552	156490
760	496150	155821
761	496816	155173
762	497414	154504
763	498004	153833
764	498661	153183
765	499284	152522
766	499907	151862
767	500605	151224
768	501270	150576
769	501961	149936
770	502563	149269
771	503167	148603
772	503787	147942
773	504503	147309
774	505155	146658
775	505840	146015
776	506468	145356
777	507061	144688
778	507654	144020
779	508307	143368
780	508887	142696
781	509475	142027
782	510067	141359
783	510674	140696
784	511286	140033
785	511855	139360
786	512538	138717
787	513144	138054
788	513749	137390
789	514339	136723
790	514980	136069
791	515550	135397
792	516161	134735
793	516750	134068
794	517398	133417
795	517967	132745
796	518563	132080
797	519177	131420
798	519758	130752
799	520356	130089
800	521056	129450
801	521618	128778
802	522238	128120
803	522804	127449
804	523414	126789
805	524057	126138
806	524701	125486
807	525337	124832
808	525921	124166
809	526518	123504
810	527219	122866
811	527751	122188
812	528404	121539
813	528943	120864
814	529534	120201
815	530142	119541
816	530746	118882
817	531442	118242
818	532117	117598
819	532744	116943
820	533356	116286
821	533992	115633
822	534587	114972
823	535220	114318
824	535867	113668
825	536453	113006
826	537109	112357
827	537760	111708
828	538410	111059
829	539025	110402
830	539662	109750
831	540306	109100
832	540898	108439
833	541490	107778
834	542101	107121
835	542732	106468
836	543381	105819
837	543972	105159
838	544592	104504
839	545198	103847
840	545864	103201
841	546473	102544
842	547056	101883
843	547692	101232
844	548278	100571
845	548904	99918
846	549513	99262
847	550097	98602
848	550740	97952
849	551320	97291
850	551904	96631
851	552517	95977
852	553101	95317
853	553819	94681
854	554388	94019
855	555029	93369
856	555672	92720
857	556324	92072
858	556960	91421
859	557614	90774
860	558245	90123
861	558830	89464
862	559453	88812
863	560039	88154
864	560669	87503
865	561255	86845
866	561851	86189
867	562455	85534
868	563067	84881
869	563706	84231
870	564334	83581
871	564920	82924
872	565516	82268
873	566116	81614
874	566770	80967
875	567331	80307
876	567930	79652
877	568573	79004
878	569210	78355
879	569853	77707
880	570446	77052
881	571122	76408
882	571699	75751
883	572304	75098
884	572914	74446
885	573537	73796
886	574138	73142
887	574773	72493
888	575385	71842
889	576015	71192
890	576582	70535
891	577190	69884
892	577794	69231
893	578392	68579
894	579049	67933
895	579693	67285
896	580312	66635
897	580991	65992
898	581569	65337
899	582182	64686
900	582860	64043
901	583522	63398
902	584123	62746
903	584794	62102
904	585405	61451
905	586080	60807
906	586661	60153
907	587270	59503
908	587871	58851
909	588470	58200
910	589080	57550
911	589788	56909
912	590395	56258
913	590989	55607
914	591658	54962
915	592256	54311
916	592886	53663
917	593496	53013
918	594154	52368
919	594722	51715
920	595364	51068
921	595927	50414
922	596526	49764
923	597185	49119
924	597759	48466
925	598413	47821
926	599000	47170
927	599646	46524
928	600287	45877
929	600951	45232
930	601574	44584
931	602140	43932
932	602795	43287
933	603360	42635
934	603999	41989
935	604559	41337
936	605219	40692
937	605789	40041
938	606514	39400
939	607099	38751
940	607711	38103
941	608378	37458
942	609044	36813
943	609680	36167
944	610311	35520
945	610899	34871
946	611539	34225
947	612105	33575
948	612757	32930
949	613395	32283
950	614000	31636
951	614727	30994
952	615345	30347
953	616002	29702
954	616617	29055
955	617230	28408
956	617828	27760
957	618518	27116
958	619114	26468
959	619773	25823
960	620341	25175
961	620989	24529
962	621570	23881
963	622215	23236
964	622895	22592
965	623478	21944
966	624082	21297
967	624731	20652
968	625377	20006
969	626017	19361
970	626668	18716
971	627264	18069
972	627893	17423
973	628517	16777
974	629163	16132
975	629807	15487
976	630429	14841
977	631058	14195
978	631710	13550
979	632251	12903
980	632883	12257
981	633539	11612
982	634105	10966
983	634755	10321
984	635400	9676
985	636071	9031
986	636659	8385
987	637239	7739
988	637847	7094
989	638478	6449
990	639125	5804
991	639764	5159
992	640449	4514
993	641178	3870
994	641799	3225
995	642447	2580
996	643031	1934
997	643637	1289
998	644299	644
999	644948	0
